시설명,소재지도로명주소,운영기관명,연락처,급식장소,급식대상,급식시간,급식일,운영시작일자,운영종료일자,소재지지번주소,경도(WGS84좌표),위도(WGS84좌표),데이터기준일자
동구노인복지관,광주광역시 동구 동명로20번길 10(동명동),동구노인복지관,062-232-4953,동구노인복지관," 독거노인, 결식노인, 노숙인, 저소득층 등",중식(12:00-13:00),월～토,2015-01-01,,광주광역시 동구 동명동 154-26,35.150721 ,126.924557 ,2015-11-26
혜성교회,광주광역시 동구 경양로247번길 22(계림동),혜성교회,062-224-4872,혜성교회," 독거노인, 결식노인, 노숙인, 저소득층 등",중식(12:00-13:00),월～토,2015-01-01,,광주광역시 동구 계림동 292-5,35.158105 ,126.919278 ,2015-11-26
계림교회,광주광역시 동구 계림로 34-4(계림동),계림교회,062-224-8861,계림교회," 독거노인, 결식노인, 노숙인, 저소득층 등",중식(12:00-13:00),월～토,2015-01-01,,광주광역시 동구 계림동 202-2,35.156893 ,126.923669 ,2015-11-26
빛고을종합사회복지관,광주광역시 동구 천변좌로 656(용산동),빛고을종합사회복지관,062-234-4563,빛고을종합사회복지관," 독거노인, 결식노인, 노숙인, 저소득층 등",중식(12:00-13:00),월～금,2015-01-01,,광주광역시 동구 용산동 산3,35.125529 ,126.929566 ,2015-11-26
서구노인복지관,광주광역시 서구 군분2로 55(화정동),서구노인종합복지관,062-365-9688,서구노인종합복지관,"독거노인, 결식노인, 저소득층 등",중식(11:40-13:00),월～토,2015-01-01,,광주광역시 서구 화정동 23-231,35.158088 ,126.880253 ,2015-11-26
금호종합사회복지회관,광주광역시 서구 운천로32번길 25(금호동),금호종합사회복지관,062-376-3017,금호종합사회복지관,"독거노인, 결식노인, 저소득층 등",중식(11:30-12:30),월～토,2015-01-01,,광주광역시 서구 금호동 743-3,35.136450 ,126.861974 ,2015-11-26
쌍촌종합사회복지회관,광주광역시 서구 쌍학로 47(쌍촌동),쌍촌종합사회복지관,062-375-0035,쌍촌종합사회복지관,"독거노인, 결식노인, 저소득층 등",중식(11:30-12:30),월～토,2015-01-01,,광주광역시 서구 쌍촌동 1229,35.147069 ,126.869677 ,2015-11-26
쌍촌시영사회복지회관,광주광역시 서구 화정로 87(쌍촌동),쌍촌시영사회복지관,062-372-0360,쌍촌시영사회복지관,"독거노인, 결식노인, 저소득층 등",중식(11:30-12:30),월～토,2015-01-01,,광주광역시 서구 쌍촌동 1228,35.145693 ,126.867169 ,2015-11-26
사)건강가정지원센터,광주광역시 서구 상무대로1224번길 18(양동),사)건강가정지원센터,062-369-0072,사)건강가정지원센터,"독거노인, 결식노인, 저소득층 등",중식(11:30-12:30),월～토,2015-01-01,,광주광역시 서구 양동 385-30,35.155200 ,126.896755 ,2015-11-26
사랑의쉼터,광주광역시 남구 서오층석탑길 42(서동),노인과청소년공동체빈들회(사랑의식당),062-676-6646,노인과청소년공동체빈들회,"독거노인, 결식노인, 저소득층어르신",중식(12:00~13:00),월～토,2015-01-01,,광주광역시 남구 서동 137-13,35.147825 ,126.907304 ,2015-11-26
직업소년원사랑의식당,광주광역시 남구 거북언덕길 6(서동),광주직업소년원사랑의식당,062-652-5158,광주직업소년원사랑의식당,"독거노인, 결식노인, 저소득층어르신",중식(12:00~13:00),월～토,2015-01-01,,광주광역시 남구 서동 121-1,35.146083 ,126.906490 ,2015-11-26
대한노인회시연합회,광주광역시 남구 제중로 92(서동),대한노인회 광주광역시연합회,062-652-7374,대한노인회광주광역시연합회,"독거노인, 결식노인, 저소득층어르신",중식(12:00~13:00),월～토,2015-01-01,,광주광역시 남구 서동 261-40,35.141060 ,126.910639 ,2015-11-26
남구노인복지관,광주광역시 남구 대남대로308번길 32(월산동),남구노인복지관,062-366-0791,남구노인복지관,"독거노인, 결식노인, 저소득층어르신",중식(12:00~13:00),월～토,2015-01-01,,광주광역시 남구 월산동 614-4,35.141727 ,126.897255 ,2015-11-26
양지종합사회복지관,광주광역시 남구 제중로 24-10(양림동),양지종합사회복지관,062-673-1919,양지종합사회복지관,"독거노인, 결식노인, 저소득층어르신",중식(12:00~13:00),월～토,2015-01-01,,광주광역시 남구 양림동 293-4,35.136614 ,126.915375 ,2015-11-26
각화종합사회복지회관,광주광역시 북구 군왕로 202번길 20(각화동),각화종합사회복지회관,062-265-1052,각화종합사회복지회관,"독거노인, 결식노인, 저소득층",중식(12:00-13:00),월~토,2015-01-01,,광주광역시 북구 각화동 180-4,35.178764 ,126.935518 ,2015-11-26
북구노인복지관,광주광역시 북구 군왕로 130번길 30(두암동),북구노인복지관,062-266-7727,북구노인복지관,"독거노인, 결식노인, 저소득층",중식(12:00-13:00),월~토,2015-01-01,,광주광역시 북구 두암동 456-9,35.172345 ,126.934360 ,2015-11-26
오치종합사회복지회관,광주광역시 북구 서하로 194번길 6(오치동),오치종합사회복지회관,062-263-8200,오치종합사회복지회관,"독거노인, 결식노인, 저소득층",중식(12:00-13:00),월~토,2015-01-01,,광주광역시 북구 오치동 1003,35.185738 ,126.900779 ,2015-11-26
무등종합사회복지회관,광주광역시 북구 삼정로 6(두암동),무등종합사회복지회관,062-268-0093,무등종합사회복지회관,"독거노인, 결식노인, 저소득층",중식(12:00-13:00),월~토,2015-01-01,,광주광역시 북구 두암동 969-6,35.162822 ,126.937946 ,2015-11-26
우산종합사회복지회관,광주광역시 북구 중문로 55(우산동),우산종합사회복지회관,062-266-3853,우산종합사회복지회관,"독거노인, 결식노인, 저소득층",중식(12:00-13:00),월~토,2015-01-01,,광주광역시 북구 우산동 633-1,35.177589 ,126.918977 ,2015-11-26
두암종합사회복지회관,광주광역시 북구 삼정로 7(두암동),두암종합사회복지회관,062-266-8184,두암종합사회복지회관,"독거노인, 결식노인, 저소득층",중식(12:00-13:00),월~토,2015-01-01,,광주광역시 북구 두암동 968-1,35.164497 ,126.934932 ,2015-11-26
광주종합사회복지회관,광주광역시 북구 우치로 311번길 15(오치동),광주종합사회복지회관,062-264-4370,광주종합사회복지회관,"독거노인, 결식노인, 저소득층",중식(12:00-13:00),월~금,2015-01-01,,광주광역시 북구 오치동 912-1,35.192114 ,126.902787 ,2015-11-26
시민종합사회복지회관,광주광역시 북구 양일로 76-1(양산동),시민종합사회복지회관,062-571-4100,시민종합사회복지회관,"독거노인, 결식노인, 저소득층",중식(12:00-13:00),월~토,2015-01-01,,광주광역시 북구 양산동 657-2,35.197430 ,126.873163 ,2015-11-26
한울복지재단,광주광역시 북구 경양로 102(임동),한울복지재단,062-512-3521,한울복지재단,"독거노인, 결식노인, 저소득층",중식(12:00-13:00),월~금,2015-01-01,,광주광역시 북구 임동 2-14,35.161984 ,126.903078 ,2015-11-26
예은교회,광주광역시 북구 군왕로 168번길 50(두암동),예은교회,062-263-8004,예은교회,"독거노인, 결식노인, 저소득층",중식(12:00-13:00),월~금,2015-01-01,,광주광역시 북구 두암동 54-5,35.175515 ,126.936324 ,2015-11-26
동암교회,광주광역시 북구 동운로 213번길 22(운암동),동암교회,062-513-7620,동암교회,"독거노인, 결식노인, 저소득층",중식(12:00-13:00),월~토,2015-01-01,,광주광역시 북구 운암동 865,35.175207 ,126.873953 ,2015-11-26
신일교회,광주광역시 북구 북문대로 70(운암동),신일교회,062-523-9419,신일교회,"독거노인, 결식노인, 저소득층",중식(12:00-13:00),월~금,2015-01-01,,광주광역시 북구 운암동 65-6,35.177624 ,126.878916 ,2015-11-26
북구태봉노인복지관,광주광역시 북구 서암대로 130번길 11-10(신안동),이일성로원,062-266-7727,북구태봉노인복지관,"독거노인, 결식노인, 저소득층",중식(12:00-13:00),월~금,2015-01-01,,광주광역시 북구 신안동 232-45,35.169919 ,126.898519 ,2015-11-26
하남종합사회복지관,광주광역시 광산구 월곡산정로 12(우산동),하남종합사회복지관,062-951-0701,하남종합사회복지관,"결식노인, 저소득층 노인",중식(11:30~12:30),월~토,2015-01-01,,광주광역시 광산구 우산동 1571-1,35.165108 ,126.803685 ,2015-11-26
송광종합사회복지관,광주광역시 광산구 우산로 17(우산동),송광종합사회복지관,062-941-8248,송광종합사회복지관,"결식노인, 저소득층 노인",중식(11:30~12:30),월~토,2015-01-01,,광주광역시 광산구 우산동1603-1,35.159504 ,126.802816 ,2015-11-26
광산구더불어락노인복지관,광주광역시 광산구 목련로 156(운남동),광산구더불어락노인복지관,062-959-9004,광산구더불어락노인복지관,"결식노인, 저소득층 노인",중식(11:30~12:30),월~토,2015-01-01,,광주광역시 광산구 운남동 799-1,35.170803 ,126.816391 ,2015-11-26
광산구행복나루노인복지관,광주광역시 광산구 송정로 52번길 20(도산동),광산구행복나루노인복지관,062-942-3663,광산구행복나루노인복지관,"결식노인, 저소득층 노인",중식(11:30~12:30),월~토,2015-01-01,,광주광역시 광산구 도산동883-28,35.133189 ,126.794747 ,2015-11-26
