재활용센터명,재활용센터운영구분,소재지도로명주소,소재지지번주소,위도,경도,면적,설립년월,차량보유대수,주요취급품목정보,운영기관명,운영기관전화번호,운영기관대표자명,평일운영시작시각,평일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일정보,애프터서비스정보,홈페이지주소,관리기관전화번호,관리기관명,데이터기준일자,
강릉시 자원순환센터,직영,강원도 강릉시 임곡로 557-13,강원도 강릉시 강동면 임곡리 산25번지,37.6880645,128.9847115,3022,2007-12,2,"페트병,고철,공병,프라스틱,폐지,알루미늄캔,파병/잡병",강원도 강릉시,033-660-3392,강릉시장,09:00,18:00,09:00,12:00,"일,공휴일",해당없음,해당없음,033-660-3392,강원도 강릉시청,2017-05-16,
양구군 전처리시설,직영,강원도 양구군 남면 국토정중앙로 300,강원도 양구군 남면 산84,38.0709444,128.0410758,196,2012-10,10,재활용품 등,양구군청,033-480-2833,양구군수,09:00,18:00,09:00,18:00,일요일,,,033-480-2833,양구군청,2017-04-28,
원주시 중고가전가구재활용센터(1호점),위탁,강원도 원주시 치악로 1601-6(단구동),강원도 원주시 단구동 724-22,37.3260743,127.9577617,495,2012-07,2,중고가구가전제품,개인,033-735-7388,원덕자,09:00,18:30,00:00,00:00,매주 일요일,애프터서비스운영,wjrecycle.com,033-737-3091,강원도 원주시청,2017-04-28,
원주시 중고가전가구재활용센터(2호점),위탁,강원도 원주시 원일로 214(학성동),강원도 원주시 학성동 430-8,37.3557821,127.9423442,330,2012-07,1,중고가구가전제품,개인,033-743-0119,원덕자,09:00,18:30,00:00,00:00,매주 일요일,애프터서비스운영,wjrecycle.com,033-737-3091,강원도 원주시청,2017-04-28,
인제군 공공재활용선별시설,직영,강원도 인제군 북면 금강로 221,강원도 인제군 북면 월학리 1235-3,38.082228,128.122207,881.86,2005-08,7,"파지, PET, PP, 캔",인제군,033-460-2064,인제군수,09:00,17:00,24:00,24:00,관공서의 공휴일에 관한 규정 제2조 준용,,,033-460-2064,강원도 인제군청,2017-04-18,
고성군생활자원회수센터,직영,강원도 고성군 죽왕면 짱고개길 253,강원도 고성군 죽왕면 향목리 223,38.214599,128.285106,1696,2014-07,3,"PET,PS,컬캔,알류미늄캔 등",강원도 고성군청,033-680-3983,윤승근,09:00,18:00,09:00,18:00,공휴일,,,033-680-3983,강원도 고성군청,2017-11-22,
청명산업,위탁,강원도 춘천시 동면 소양강로 242,강원도 춘천시 동면 장학리 648-56,37.908772,127.749040,153,2017-02,10,"가구, 가전",청명산업,033-256-4427,김영숙,08:00,17:00,08:00,17:00,"매주일요일, 공휴일",없음(기증물품처리),,033-250-3131,강원도 춘천시청,2017-11-15,
신바람할인매장,위탁,강원도 춘천시 공지로 257(효자동),강원도 춘천시 효자2동 250-76,37.864950,127.735211,159,2017-07,1,"가구, 가전",신바람할인매장,033-263-0095,이영란,09:00,18:00,10:00,18:00,명절,판매일로부터 6개월이내 무상 수리,,033-250-3131,강원도 춘천시청,2017-11-15,
모음과나눔,직영,경기도 가평군 가평읍 가화로 75-1,경기도 가평군 가평읍 대곡리 233-4,37.8265424,127.5147872,46.08,2009-11,0,"의류, 도서, 소형가전, 신발, 문구, 잡화",가평군청 환경과,031-581-0396,가평군수 김성기,09:00,18:00,00:00,00:00,공휴일 휴무,없음,없음,031-580-2552,가평군청,2017-04-28,
동두천시 재활용센터,직영,경기도 동두천시 강변로 872,,37.9422687,127.056591,7887,2005-06,3,폐지+유리병+폐비닐+페트 등,경기도 동두천시청,031-860-2254,동두천시장,09:00,18:00,09:00,18:00,"토요일, 일요일",,,031-860-2254,경기도 동두천시청,2017-04-20,
안산시재활용센터,위탁,경기도 안산시 단원구 선부광장로 45(선부동),경기도 안산시 단원구 선부동 1076-10,37.335093,126.812086,1125.9,2003-07,2,"세탁기, 냉장고, 가구, 신발 등",안산시재활용센터,031-405-8272,이종남,09:00,18:00,09:00,18:00,연중무휴,판매일로부터 6개월이내 무상 수리,없 음,031-481-2253,경기도 안산시청,2017-04-19,
자원새롬센터,위탁,경기도 연천군 청산면 초대로 106번길 125,경기도 연천군 청산면 대전리 459,37.9974361,127.0829967,328,1994-02,10,"파지, 유리병, 금속캔, 합성수지, 필름시트,단일/복합재질포장재, 전지, 형광등, 전자제품 등",TSK 워터,031-833-5707,김종일,08:00,17:00,08:00,08:00,공휴일,,,031-839-2255,경기도 연천군청,2017-04-10,
용인시 재활용센터,위탁,경기도 용인시 처인구 경안천로 288,경기도 용인시 처인구 고림동 954-3,37.152821,127.130931,3465,2017-08,8,"혼합재활용품, 유리병",용인도시공사,031-332-1190,김한섭,08:00,17:00,08:00,17:00,,,,031-324-2334,경기도 용인시청,2017-04-20,
의정부시재활용수리판매소,위탁,경기도 의정부시 장곡로 450(신곡동),경기도 의정부시 신곡동 681,37.7435522,127.0546909,478.5,1998-06,2,"가전,가구 등",(사)한국생활자원재활용협회 의정부지회,031-842-7282,이종철,09:00,20:00,10:00,20:00,일요일 월 3회 휴무,판매 또는 교환물품이 6개월이내에 하자 발생시 무상수리,없음,031-828-2792,경기도 의정부시청,2017-01-01,
환경자원센터,직영,경기도 포천시 신북면 신평로 16번길 207,경기도 포천시 신북면 만세교리 97-1,37.9664580,127.2423480,2091.9,2004-02,2,PET 등 29종,경기도 포천시청,,,09:00,18:00,00:00,00:00,,,,031-538-2488,경기도 포천시청,2017-04-10,
과천시 재활용센터,위탁,경기도 과천시 구리안로 177 자원정화센터 내 홍보관 1층,경기도 과천시 갈현동 205-1,37.4075855,126.9926148,396,1999-12,2,"가전, 가구",처분이사,02-507-8946,홍용학,09:00,19:00,09:00,19:00,일요일,없음,없음,02-3677-2253,과천시,2017-11-30,
광주시 재활용센터,위탁,경기도 광주시 중앙로 197,경기도 광주시 송정동 120-8,37.417718,127.256367,743.8,2010-06,2,"가전, 가구 등",광주시 재활용센터,031-767-7288,김진경,09:30,20:00,10:00,18:00,명절,구입 후 3~6개월까지 무상수리(가전에 한함),HTTP://www.cleangj.com,031-760-4543,경기도 광주시청,2017-04-01,
수원시자원순환센터,위탁,경기도 수원시 영통구 광교호수로 278-1(하동),경기도 수원시 영통구 하동 17-3,37.290471,127.086580,90444,2009-12,16,"플라스틱, 스티로폼, 병류, 고철, 알루미늄 캔 등",수원시시설관리공단,031-888-7911,신범식,08:00,17:00,08:00,14:00,"일요일, 공휴일",,http://www.suwonfmc.or.kr,031-888-7911,경기도 수원시,2017-04-25,
재활용선별장,위탁,경기도 양주시 은현면 은남로 160,경기도 양주시 은현면 봉암리 39,37.8931512,127.0095212,44134,2009-10,0,"파지, 고철, 플라스틱 등",양주시 시설관리공단,031-828-9752,유재원,09:00,18:00,09:00,18:00,"토, 일 휴무",,http://yjfmc.or.kr/,031-8082-6922,경기도 양주시청,2017-04-17,
오산시 자원재활용센터,직영,경기도 오산시 오산천로 3-35,경기도 오산시 누읍동 196-4,37.133074,127.058582,10645,2005-12,15,"생활쓰레기, 재활용품 등",경기도 오산시청,031-8036-6453,곽상욱,05:00,18:00,05:00,13:00,일요일,,,031-8036-6453,경기도 오산시청,2017-05-01,
의왕시 재활용센터,위탁,경기도 의왕시 가나무로 20,경기도 의왕시 이동 478,37.3382450,126.9646710,2884,1995-01,0,"고철, 플라스틱,종이",의왕도시공사,031-8086-7451,이성훈,09:00,18:00,00:00,00:00,없음,해당없음,www.uuc.or.kr,031-345-3461,경기도 의왕시청,2017-02-28,
평택시남부재활용센터,위탁,경기도 평택시 성동로 11번길 26,경기도 평택시 비전동 621-12,36.995207,127.091064,153.36,1998-01,1,"가전제품, 가구류 등",남부재활용센터,031-653-7288,김홍직,09:00,18:00,00:00,00:00,-,판매일로부터 6개월이내 무상 수리,-,031-8024-3721,경기도 평택시청,2017-01-01,
평택시북부재활용센터,위탁,경기도 평택시 탄현로 60,경기도 평택시 서정동 431,37.057957,127.053963,150,1999-03,1,"가전제품, 가구류 등",북부재활용센터,031-665-4589,조명현,09:00,18:00,00:00,00:00,-,판매일로부터 6개월이내 무상 수리,-,031-8024-3721,경기도 평택시청,2017-01-01,
평택시서부재활용센터,위탁,경기도 평택시 안중읍 서동대로 1883,경기도 평택시 안중읍 금곡리 166-19,36.999016,126.955298,184.86,1999-12,1,"가전제품, 가구류 등",서부재활용센터,031-681-2707,황규호,09:00,18:00,00:00,00:00,-,판매일로부터 6개월이내 무상 수리,-,031-8024-3721,경기도 평택시청,2017-01-01,
모음과나눔,직영,경기도 가평군 가평읍 가화로 75-1,경기도 가평군 가평읍 대곡리 233-4,37.8265444,127.5147485,46.08,2017-11,0,"의류, 도서, 소형가전, 신발, 문구, 잡화",가평군청 환경과,031-581-0396,가평군수 김성기,09:00,18:00,00:00,00:00,공휴일 휴무,없음,없음,031-580-2552,가평군청,2017-10-31,
광명시재활용센터,위탁,경기도 광명시 금당로 47,경기도 광명시 하안동 110-7(하안12단지),37.4600178,126.8832081,660.1,2002-05,1,"재활용 가전, 가구",이성춘,02-891-2543,이성춘,09:00,19:00,10:00,18:00,"1,3주 일요일",판매일로부터 3개월이내 무상수리,,02-2680-6384,경기도 광명시청,2017-12-03,
동두천시 재활용선별장,직영,경기도 동두천시 강변로 872,경기도 동두천시 동두천동 432-1,37.9422161,127.056589,7887,2005-06,3,"종이, 유리병, 비닐, 고철 등",경기도 동두천시청(환경보호과 재활용팀),031-860-2254,동두천시장,09:00,18:00,00:00,00:00,"토요일, 일요일",,없음,031-860-2254,경기도 동두천시청(환경보호과 재활용팀),2017-10-31,
용인시재활용센터,위탁,경기도 용인시 처인구 경안천로 288(고림동),경기도 용인시 처인구 고림동 954-3,37.2575218,127.2192678,3465,2007-08,8,"혼합재활용품, 유리병",용인도시공사,031-332-1190,김한섭,08:00,17:00,08:00,17:00,-,-,-,031-324-2334,용인시청,2017-11-22,
평택시남부재활용센터,위탁,경기도 평택시 성동로 11번길 26,경기도 평택시 비전동 621-12,36.9951927,127.0910097,153.36,1998-01,1,"가전제품, 가구류 등",남부재활용센터,031-653-7288,김홍직,09:00,18:00,00:00,00:00,,판매일로부터 6개월이내 무상 수리,,031-8024-3721,경기도 평택시청,2017-10-31,
평택시북부재활용센터,위탁,경기도 평택시 탄현로 60,경기도 평택시 서정동 431,37.0579016,127.0539245,150,1999-03,1,"가전제품, 가구류 등",북부재활용센터,031-665-4589,조명현,09:00,18:00,00:00,00:00,,판매일로부터 6개월이내 무상 수리,,031-8024-3721,경기도 평택시청,2017-10-31,
평택시서부재활용센터,위탁,경기도 평택시 안중읍 서동대로 1883,경기도 평택시 안중읍 금곡리 166-19,36.9989644,126.9553277,184.86,1999-12,1,"가전제품, 가구류 등",서부재활용센터,031-681-2707,황규호,09:00,18:00,00:00,00:00,,판매일로부터 6개월이내 무상 수리,,031-8024-3721,경기도 평택시청,2017-10-31,
경남거제지역자활센터,위탁,경상남도 거제시 거제중앙로13길 22 (고현동),경상남도 거제시 고현동 136-2,34.882700,128.623700,402,2001-01,1,가구/ 전제품/헌옷 등,경남거제지역자활센터,055-688-5890,주순금,09:00,18:00,00:00,00:00,일요일/공휴일,,http://www.kojejh.or.kr/index.php,055-639-4835,거제시청,2017-05-16,
광주시 재활용센터,위탁,경기도 광주시 중앙로 197,경기도 광주시 송정동 120-8,37.4171446,127.256168,743.8,2010-01,2,"가전, 가구 등",광주시 재활용센터,031-767-7288,김진경,09:30,20:00,10:00,18:00,명절,구입 후 3~6개월까지 무상수리(가전에 한함),www.cleangj.com,031-760-4543,경기도 광주시청,2017-11-15,
오산시 자원재활용센터,직영,경기도 오산시 오산천로 3-35,경기도 오산시 누읍동 196-4,37.1326961,127.0585325,10645,2005-12,15,"생활쓰레기, 재활용품 등",경기도 오산시청,031-8036-6453,곽상욱,05:00,18:00,05:00,13:00,일요일,,,031-8036-6453,경기도 오산시청,2017-11-30,
의왕시 재활용센터,위탁,경기도 의왕시 가나무로 20,경기도 의왕시 이동 478,37.3381477,126.9646162,2981.09,2017-06,10,"고철, 플라스틱, 종이 등",㈜이엠종합건설,070-4649-7431,김주상,09:00,18:00,09:00,18:00,매주 일요일,해당없음,,031-345-2862,경기도 의왕시청,2017-11-01,
환경자원센터,직영,경기도 포천시 신북면 신평로 16번길 207,경기도 포천시 신북면 만세교리 97-1,37.9675695,127.2430139,2091.9,2004-02,2,PET 등 29종,경기도 포천시청,,,09:00,18:00,00:00,00:00,,,,031-538-2488,경기도 포천시청,2017-04-10,
밀양시 재활용품 선별장,직영,경상남도 밀양시 무안면 신생길 53-246,경상남도 밀양시 무안면 마흘리 산229-4,35.479551,128.686726,7137,2016-02,2,"플라스틱, 병류, 캔류, 스티로폼",밀양시,055-359-5328,밀양시장,09:00,18:00,09:00,09:00,"토요일, 일요일",없음,http://www.miryang.go.kr/station/main/?sk_id=envmng,055-359-5327,밀양시청,2017-04-07,
창원시진해재활용품상설교환판매장,위탁,경상남도 창원시 진해구 동진로 44(석동),경상남도 창원시 진해구 석동84-1,35.1524988,128.7005096,1461.86,1996-07,1,"가구, 냉장고, TV",진해YWCA,055-544-4980,이순옥,09:00,17:30,00:00,00:00,"토요일, 일요일, 공휴일",판매일로부터 1개월,,055-225-3585,경상남도 창원시청,2017-06-09,
경남거제지역자활센터,위탁,경상남도 거제시 거제중앙로13길 22 (고현동),경상남도 거제시 고현동 136-2,34.8827684768,128.623719435,402,2017-01,1,가구/ 전제품/헌옷 등,경남거제지역자활센터,055-688-5890,주순금,09:00,18:00,00:00,00:00,일요일/공휴일,,http://www.kojejh.or.kr/index.php,055-639-4835,거제시청,2017-11-23,
거제YWCA 아나바다 재활용센터,위탁,경상남도 거제시 탑곡로 75 (아주동),경상남도 거제시 아주동 290,34.8624403644,128.691073962,192,2017-01,1,가구/ 전제품/헌옷 등,거제YWCA 아나바다 재활용센터,055-682-4950,김복례,09:00,18:00,00:00,00:00,일요일/공휴일,,http://www.gjywca.or.kr,055-639-4835,거제시청,2017-11-23,
거제YWCA 아나바다 재활용센터,위탁,경상남도 거제시 탑곡로 75 (아주동),경상남도 거제시 아주동 290,34.862400,128.691100,192,2001-01,1,가구/ 전제품/헌옷 등,거제YWCA 아나바다 재활용센터,055-682-4950,김복례,09:00,18:00,00:00,00:00,일요일/공휴일,,http://www.gjywca.or.kr,055-639-4835,거제시청,2017-05-16,
의령군 재활용센터,위탁,경상남도 의령군 의령읍 의병로 8길 44 3층,,35.316664,128.255119,45,2017-01,1,"옷, 가방 등",자원봉사협의회,,김선옥,09:00,18:00,00:00,00:00,공휴일 미운영,,,055-570-2573,경상남도 의령군청,2017-03-27,
통영시 재활용품 상설판매장,위탁,경상남도 통영시 새터길 12-10 (서호동),경상남도 통영시 서호동 177-408,32.573900,126.870300,54.7,1999-04,1,"의류, 가방, 신발, 재활용비누, 장난감, 잡화 등",통영YWCA,055-646-2548,통영YWCA 회장,09:00,18:00,00:00,00:00,공휴일,,http://tyywca.or.kr,055-650-5453,경상남도 통영시,2017-05-19,
김해시 재활용품선별장,위탁,경상남도 김해시 한림면 김해대로 835번길 13-72,경상남도 김해시 한림면 퇴래리 1282,35.299659,128.778426,15989,2005-01,1,재활용품,(주)태광수지,055-330-3409,김진춘,08:00,17:00,08:00,12:00,"매주 일요일,공휴일",,,055-330-3401,경상남도 김해시청,2017-11-20,
